timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1690569900,Jul 28 2023 - 6:45pm,complete,N/A,Union Saint-Gilloise,RSC Anderlecht,Bram Van Driessche,1,0,0,2.15,1.45,2,0,2,1,1,0,"30,90'8",,3,3,5,0,3,0,2,3,0,3,11,6,4,3,7,3,24,18,46,54,0,0,1.2,0.99,0,0,0,0,0,0,0,0,0,0,0,0,2.02,3.55,3.3,1.24,1.89,2.91,5.4,1.75,2,Stade Joseph Mariën (Bruxelles (Brussels))
1690639200,Jul 29 2023 - 2:00pm,complete,N/A,AS Eupen,KVC Westerlo,Kevin Van Damme,1,0,0,1,0.95,2,2,4,1,1,0,"20,55","69,90'1",1,4,1,0,1,0,0,1,0,1,13,19,7,6,6,13,14,7,39,61,0,0,1.63,2.13,0,0,0,0,0,0,0,0,0,0,0,0,3.1,3.5,2.12,1.3,1.94,3.3,6.5,1.7,2.05,Stadion am Kehrweg (Eupen)
1690647300,Jul 29 2023 - 4:15pm,complete,N/A,Sporting Charleroi,OH Leuven,Nathan Verboomen,1,0,0,1.61,0.8,1,1,2,1,1,0,9,84,2,6,3,1,1,0,2,2,0,1,4,16,3,6,1,10,7,12,36,64,0,0,0.67,2.14,0,0,0,0,0,0,0,0,0,0,0,0,2,3.65,3.25,1.25,1.68,3.1,5.5,1.67,2.1,Stade du Pays de Charleroi (Charleroi)
1690656300,Jul 29 2023 - 6:45pm,complete,N/A,RWDM,KRC Genk,Wesli De Cremer,1,0,0,1,1.3,0,4,4,3,0,3,,"31,38,45,71",2,6,1,0,0,0,0,1,0,0,12,24,6,12,6,12,11,11,30,70,0,0,1.34,3.08,0,0,0,0,0,0,0,0,0,0,0,0,3.7,3.55,1.82,1.25,1.65,3,5.5,1.67,2.1,Edmond Machtensstadion (Brussels (Bruxelles))
1690716600,Jul 30 2023 - 11:30am,complete,N/A,Royal Antwerp FC,Cercle Brugge,Jonathan Lardot,1,0,0,1.75,1.45,1,0,1,1,1,0,45'1,,7,7,0,0,2,0,0,0,0,2,11,7,5,2,6,5,15,13,50,50,0,0,1.53,1,0,0,0,0,0,0,0,0,0,0,0,0,1.9,3.6,4,1.28,1.85,3.3,6,1.8,1.95,Bosuilstadion (Deurne)
1690725600,Jul 30 2023 - 2:00pm,complete,N/A,KAA Gent,KV Kortrijk,Lawrence Visser,1,0,0,1.95,0.72,3,2,5,3,2,1,"8,30,71","5,86",7,5,1,0,4,0,1,0,2,2,14,7,5,4,9,3,5,9,65,35,0,0,1.8,1.03,0,0,0,0,0,0,0,0,0,0,0,0,1.25,5.75,9.5,1.18,1.57,2.18,4.5,1.95,1.8,Ghelamco Arena (Gent)
1690734600,Jul 30 2023 - 4:30pm,complete,N/A,Club Brugge,KV Mechelen,Bert Put,1,0,0,2.05,1.35,1,1,2,1,0,1,65,38,4,3,1,1,2,0,1,1,2,0,16,7,6,3,10,4,9,9,56,44,0,0,1.92,0.97,0,0,0,0,0,0,0,0,0,0,0,0,1.4,4.25,5.51,1.18,1.53,2.18,4.5,1.75,2,Jan Breydelstadion (Brugge)
1690737300,Jul 30 2023 - 5:15pm,complete,N/A,Sint-Truiden,Standard Liège,Jasper Vergoote,1,0,0,1.8,0.65,1,0,1,0,0,0,86,,3,2,1,0,1,0,0,1,1,0,8,5,4,4,4,1,13,11,54,46,0,0,1.12,0.86,0,0,0,0,0,0,0,0,0,0,0,0,2.63,3.23,2.27,1.32,1.81,3.75,8,1.8,1.95,Daio Wasabi Stayen Stadium (Sint-Truiden (St.-Trond))
1691174700,Aug 04 2023 - 6:45pm,complete,N/A,Standard Liège,Union Saint-Gilloise,Jonathan Lardot,2,0,0,1.3,2.05,0,1,1,1,0,1,,21,2,13,3,1,1,0,2,2,0,1,7,16,4,9,3,7,9,13,35,65,0,0,0.95,2.32,0,0,0,0,0,0,0,0,0,0,0,0,3.1,3.6,2.08,1.22,1.67,2.62,4.5,1.67,2.1,Stade Maurice Dufrasne (Liège (Luik))
1691244000,Aug 05 2023 - 2:00pm,complete,N/A,KRC Genk,AS Eupen,Wim Smet,2,0,0,1.62,0.56,0,1,1,1,0,1,,2,7,2,1,0,2,0,0,1,1,1,17,6,4,3,13,3,11,12,75,25,0,0,2.22,0.69,0,0,0,0,0,0,0,0,0,0,0,0,1.23,5.6,10,1.14,1.59,2.12,3.6,1.8,1.95,Cegeka Arena (Genk)
1691252100,Aug 05 2023 - 4:15pm,complete,N/A,Cercle Brugge,Sporting Charleroi,Lothar D'hondt,2,0,0,1.55,0.89,2,0,2,2,2,0,"16,43",,4,5,0,0,3,0,0,0,0,3,13,6,4,4,9,2,11,13,51,49,0,0,1.54,1.06,0,0,0,0,0,0,0,0,0,0,0,0,1.92,3.65,3.75,1.22,1.68,2.8,5,1.63,2.2,Jan Breydelstadion (Brugge)
1691261100,Aug 05 2023 - 6:45pm,complete,N/A,OH Leuven,RWDM,N/A,2,0,0,1.4,0.67,1,2,3,2,1,1,18,"44,48",15,6,4,0,1,0,2,2,0,1,12,14,6,5,6,9,14,18,61,39,0,0,1.67,1.53,0,0,0,0,0,0,0,0,0,0,0,0,1.8,3.85,3.95,1.22,1.68,2.35,4.5,1.67,2.1,King Power at Den Dreef Stadion (Heverlee)
1691321400,Aug 06 2023 - 11:30am,complete,N/A,RSC Anderlecht,Royal Antwerp FC,Jasper Vergoote,2,0,0,2.4,1.15,1,0,1,1,1,0,45'5,,3,6,1,0,1,0,0,1,1,0,9,4,3,4,6,0,9,19,44,56,0,0,1.02,1.11,0,0,0,0,0,0,0,0,0,0,0,0,2.4,3.5,2.7,1.25,1.87,3.1,5.5,1.62,2.2,Lotto Park (Bruxelles (Brussel))
1691330400,Aug 06 2023 - 2:00pm,complete,N/A,KV Mechelen,KAA Gent,Nicolas Laforge,2,0,0,1.7,1.67,0,1,1,0,0,0,,54,7,3,2,0,3,0,1,1,0,3,9,8,3,3,6,5,14,14,52,48,0,0,1.16,1.02,0,0,0,0,0,0,0,0,0,0,0,0,3.95,3.85,1.86,1.2,1.64,2.31,4.33,1.57,2.25,AFAS-stadion Achter de Kazerne (Mechelen (Malines))
1691339400,Aug 06 2023 - 4:30pm,complete,N/A,KVC Westerlo,Club Brugge,Jan Boterberg,2,0,0,1,1.7,0,1,1,1,0,1,,36,4,5,1,0,0,0,0,1,0,0,9,15,4,9,5,6,7,9,41,59,0,0,1.16,2.02,0,0,0,0,0,0,0,0,0,0,0,0,3.8,3.7,1.94,1.19,1.65,2.45,4.2,1.57,2.25,Het Kuipje (Westerlo)
1691342100,Aug 06 2023 - 5:15pm,complete,N/A,KV Kortrijk,Sint-Truiden,N/A,2,0,0,1,0.85,0,1,1,0,0,0,,56,0,14,1,0,2,0,0,1,0,2,3,9,2,5,1,4,10,12,51,49,0,0,0.64,1.18,0,0,0,0,0,0,0,0,0,0,0,0,2.9,3.35,2.43,1.28,1.93,3.18,5.97,1.7,2.05,Guldensporenstadion (Kortrijk)
1691779500,Aug 11 2023 - 6:45pm,complete,N/A,Royal Antwerp FC,KV Kortrijk,Jan Boterberg,3,3,0,1.75,0.72,6,0,6,4,4,0,"10,22,36,44,58,67",,4,1,0,0,2,0,0,0,0,2,22,4,10,2,12,2,8,11,63,37,1.53,1.03,2.59,0.54,3,50,50,50,50,50,50,100,50,50,12,4,1.25,6,11,1.16,1.5,2.2,3.75,1.88,1.8,Bosuilstadion (Deurne)
1691848800,Aug 12 2023 - 2:00pm,complete,N/A,RWDM,KV Mechelen,Bram Van Driessche,3,0,1,1,1.35,1,0,1,0,0,0,74,,7,4,3,0,1,0,0,3,0,1,13,8,9,5,4,3,12,12,43,57,1.34,0.97,1.87,1.16,3,50,100,50,50,0,50,100,0,100,5,3,2.42,3.2,2.68,1.18,1.57,2.5,4.33,1.53,2.3,Edmond Machtensstadion (Brussels (Bruxelles))
1691856900,Aug 12 2023 - 4:15pm,complete,N/A,Union Saint-Gilloise,OH Leuven,Erik Lambrechts,3,3,1,2.15,0.8,5,1,6,3,2,1,"21,34,65,74,90'8",39,0,3,1,0,4,0,0,1,1,3,15,4,10,2,5,2,11,18,58,42,1.2,2.14,2.08,0.68,2,50,100,0,0,0,0,100,0,100,9,6,1.49,4.4,5,1.18,1.53,2.25,4.33,1.75,2.05,Stade Joseph Mariën (Bruxelles (Brussels))
1691926200,Aug 13 2023 - 11:30am,complete,N/A,Sint-Truiden,RSC Anderlecht,Lawrence Visser,3,3,0,1.8,1.45,0,1,1,0,0,0,,53,6,1,4,0,5,1,1,3,1,5,13,10,6,4,7,6,13,15,63,37,1.12,0.99,1.69,1.17,1.5,0,50,0,0,0,0,50,0,100,6,4,3,3.35,2.05,1.33,1.79,3.6,7,1.82,1.96,Daio Wasabi Stayen Stadium (Sint-Truiden (St.-Trond))
1691935200,Aug 13 2023 - 2:00pm,complete,N/A,Cercle Brugge,KRC Genk,Bert Put,3,3,3,1.55,1.3,0,1,1,0,0,0,,71,5,4,2,0,3,0,0,2,1,2,10,8,3,4,7,4,8,20,42,58,1.54,3.08,1.37,1.1,3,0,100,50,50,0,100,100,0,50,10,0,2.38,3.65,2.8,1.17,1.55,2.3,3.8,1.5,2.5,Jan Breydelstadion (Brugge)
1691935200,Aug 13 2023 - 2:00pm,complete,N/A,AS Eupen,Club Brugge,Lothar D'hondt,3,1,3,1,1.7,0,5,5,3,0,3,,"6,17,29,62,66",4,6,0,0,2,0,0,0,0,2,7,11,2,8,5,3,9,13,36,64,1.63,2.02,0.72,1.7,2.5,50,50,50,50,0,0,100,50,50,6,1,7,5,1.42,1.17,1.6,2.19,4.2,1.6,2.25,Stadion am Kehrweg (Eupen)
1691944200,Aug 13 2023 - 4:30pm,complete,N/A,Sporting Charleroi,Standard Liège,Nicolas Laforge,3,1,0,1.61,0.65,1,1,2,1,0,1,90'1,31,13,2,3,1,2,1,1,3,1,2,15,5,5,3,10,2,11,12,57,43,0.67,0.86,1.78,0.71,1.5,50,50,0,0,0,0,50,0,100,4,6,2,3.45,3.4,1.22,1.84,2.85,5,1.61,2.28,Stade du Pays de Charleroi (Charleroi)
1691946900,Aug 13 2023 - 5:15pm,complete,N/A,KVC Westerlo,KAA Gent,Wesli De Cremer,3,0,3,1,1.67,1,3,4,2,1,1,18,"35,60,74",4,10,1,0,1,0,0,1,0,1,11,16,6,10,5,6,10,14,42,58,1.16,1.02,1.43,2.23,1,0,0,0,0,0,0,50,0,50,7,4,3.3,3.6,2,1.17,1.62,2.25,3.8,1.5,2.4,Het Kuipje (Westerlo)
1692384300,Aug 18 2023 - 6:45pm,complete,N/A,OH Leuven,Royal Antwerp FC,Lawrence Visser,4,0,0,1.4,1.15,1,1,2,1,0,1,82,34,7,7,3,1,2,0,1,3,2,0,6,10,3,5,3,5,17,10,39,61,1.67,1.11,0.79,1.42,2,50,50,50,0,0,50,100,0,50,21,5,4.1,3.95,1.74,1.19,1.57,2.3,4.42,1.58,2.2,King Power at Den Dreef Stadion (Heverlee)
1692453600,Aug 19 2023 - 2:00pm,complete,N/A,Standard Liège,Cercle Brugge,Jasper Vergoote,4,0,0,1.3,1.45,0,1,1,0,0,0,,76,2,2,2,0,2,0,1,1,1,1,8,14,4,5,4,9,11,11,61,39,0.95,1,1.1,1.84,1,0,0,0,0,0,0,100,0,0,9,6,2.75,3.41,2.2,1.25,1.7,3,5.5,1.65,2.2,Stade Maurice Dufrasne (Liège (Luik))
1692470700,Aug 19 2023 - 6:45pm,complete,N/A,KV Mechelen,Union Saint-Gilloise,Wim Smet,4,0,3,1.7,2.05,4,0,4,1,1,0,"38,78,89,90'5",,4,6,0,0,2,0,0,0,0,2,11,10,8,2,3,8,9,10,46,54,1.16,2.32,1.46,1.36,1,0,0,0,0,0,0,50,0,50,20,3,4.41,4,1.7,1.18,1.58,2.25,4.33,1.57,2.3,AFAS-stadion Achter de Kazerne (Mechelen (Malines))
