timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1720539000,Jul 09 2024 - 3:30pm,complete,N/A,Panevėžys,HJK,Luca Cibelli,N/A,0,0,1,0.5,3,0,3,1,1,0,"17,65,67",,1,9,4,1,2,0,0,5,0,2,9,12,8,7,1,5,11,12,38,62,0,0,1.56,2.25,0,0,0,0,0,0,0,0,0,0,0,0,5.51,3.93,1.51,1.26,1.86,1.94,6.6,1.67,2.1,Aukštaitija stadionas (Panevėžys)
1720543500,Jul 09 2024 - 4:45pm,complete,N/A,Hamrun Spartans,Lincoln Red Imps,Aleksandar Stavrev,N/A,0,0,1.5,0.75,0,1,1,1,0,1,,38,5,2,3,1,5,1,2,2,3,3,10,5,5,3,5,2,13,20,47,53,0,0,1.56,1,0,0,0,0,0,0,0,0,0,0,0,0,1.66,3.84,4.26,1.24,1.58,2.1,6.2,1.62,2.2,MFA Centenary Stadium (Ta'Qali)
1720548000,Jul 09 2024 - 6:00pm,complete,N/A,The New Saints,Dečić,Bram Van Driessche,N/A,0,0,1,0.5,3,0,3,3,3,0,"4,28,38",,7,5,2,0,2,0,0,2,2,0,13,10,8,2,5,8,12,14,52,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66,3.74,4.18,1.2,1.7,2.6,4.6,1.73,2,Park Hall Stadium (Oswestry / Croesoswallt- Shropshire)
1720548000,Jul 09 2024 - 6:00pm,complete,N/A,UE Santa Coloma,Ballkani,Marcel Bîrsan,N/A,0,0,0.75,1.5,1,2,3,2,1,1,22,"42,90",6,3,2,0,4,0,0,2,1,3,10,9,5,5,5,4,15,8,45,55,0,0,1.43,1.31,0,0,0,0,0,0,0,0,0,0,0,0,4.71,3.71,1.62,1.34,1.82,2.85,7,1.83,1.83,Estadi Nacional (Andorra la Vella)
1720550700,Jul 09 2024 - 6:45pm,complete,N/A,Víkingur Reykjavík,Shamrock Rovers,Sigurd Smehus Kringstad,N/A,0,0,0.5,1,0,0,0,0,0,0,,,17,2,1,0,3,1,0,1,0,4,10,4,2,0,8,4,14,13,73,27,0,0,2.03,0.57,0,0,0,0,0,0,0,0,0,0,0,0,2.42,3.83,2.67,1.22,1.73,2.8,5.2,1.57,2.25,Víkingsvöllur (Reykjavík)
1720551600,Jul 09 2024 - 7:00pm,complete,N/A,Virtus,FCSB,Antoni Bandić,N/A,0,0,0,2.2,1,7,8,5,0,5,86,"6,11,22,27,37,70,73",4,3,2,0,1,0,1,1,0,1,6,19,2,8,4,11,10,11,30,70,0,0,0.8,2.25,0,0,0,0,0,0,0,0,0,0,0,0,24.5,10.5,1.09,1.05,1.4,1.85,3.1,2.75,1.4,Stadio Olimpico di Serravalle (Serravalle)
1720623600,Jul 10 2024 - 3:00pm,complete,N/A,Ordabasy,Petrocub,N/A,N/A,0,0,0.5,1.25,0,0,0,0,0,0,,,2,5,3,0,3,0,0,3,1,2,9,7,3,6,6,1,14,15,49,51,0,0,1.18,1.29,0,0,0,0,0,0,0,0,0,0,0,0,1.55,3.9,5,1.28,2.04,3.3,5.7,1.95,1.7,Stadion Qajimuqan Muñaytpasov (Şımkent (Shymkent))
1720627200,Jul 10 2024 - 4:00pm,complete,N/A,Tallinna FC Flora,Celje,Alejandro Muñíz Ruiz,N/A,0,0,0,1.75,0,5,5,3,0,3,,"7,10,45'1,71,90",0,8,2,0,1,0,2,0,0,1,0,7,0,6,0,1,8,7,30,70,0,0,0.34,1.64,0,0,0,0,0,0,0,0,0,0,0,0,7,4.4,1.46,1.29,1.75,3.2,6.1,1.95,1.85,A. Le Coq Arena (Tallinn)
1720630800,Jul 10 2024 - 5:00pm,complete,N/A,Rīgas FS,Larne,Ondřej Berka,N/A,0,0,1.5,0,3,0,3,1,1,0,"29,48,60",,7,1,2,0,3,0,1,1,2,1,16,6,12,4,4,2,18,15,57,43,0,0,2.22,0.84,0,0,0,0,0,0,0,0,0,0,0,0,1.8,3.25,4,1.37,2.05,3.8,7.6,2.05,1.75,LNK Sporta Parks (Rīga (Riga))
1720630800,Jul 10 2024 - 5:00pm,complete,N/A,Slovan Bratislava,Struga,Stéphanie Frappart,N/A,0,0,2.6,0,4,2,6,2,2,0,"16,36,85,90'1","55,74",8,3,2,0,2,0,0,2,0,2,9,12,7,7,2,5,14,17,58,42,0,0,1.56,1.48,0,0,0,0,0,0,0,0,0,0,0,0,1.36,4.4,6.5,1.27,1.79,3.03,5.65,2.05,1.72,Štadión Tehelné pole (Bratislava)
