timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1654099200,Jun 01 2022 - 4:00pm,complete,N/A,Poland,Wales,Rade Obrenović,1,0,0,1.17,0.17,2,1,3,0,0,0,"72,85",52,3,4,1,0,2,0,0,1,1,1,15,15,5,3,10,12,15,10,55,45,0,0,1.63,1.59,0,0,0,0,0,0,0,0,0,0,0,0,1.8,3.4,4.5,1.4,2.2,4.2,8.5,2,1.73,Tarczyński Arena (Wrocław)
1654185600,Jun 02 2022 - 4:00pm,complete,N/A,Cyprus,Kosovo,Jérôme Brisard,1,0,0,0.83,1.5,0,2,2,0,0,0,,"65,78",5,5,1,0,4,0,0,1,2,2,9,18,0,9,9,9,8,13,46,54,0,0,0.85,2.08,0,0,0,0,0,0,0,0,0,0,0,0,3.45,3.15,2.25,1.44,2.23,4.5,9,2,1.73,AEK Arena - George Karapatakis (Lárnaka (Larnaca) )
1654185600,Jun 02 2022 - 4:00pm,complete,N/A,Georgia,Gibraltar,Morten Krogh,1,0,0,2.67,0.13,4,0,4,2,2,0,"12,33,87,88",,8,0,2,0,3,0,2,0,2,1,29,2,13,0,16,2,12,7,69,31,0,0,3.25,0.17,0,0,0,0,0,0,0,0,0,0,0,0,1.09,10,31,1.12,1.4,2.08,3.5,3,1.36,Boris Paichadze Dinamo Arena (Tbilisi)
1654185600,Jun 02 2022 - 4:00pm,complete,N/A,Bulgaria,FYR Macedonia,Jérémie Pignard,1,0,0,1.5,1.17,1,1,2,1,1,0,13,50,1,5,2,0,2,0,1,1,0,2,5,16,2,6,3,10,14,12,44,56,0,0,0.65,1.94,0,0,0,0,0,0,0,0,0,0,0,0,2.7,3,2.88,1.49,2.4,5,10,2.1,1.67,Huvepharma Arena (Razgrad)
1654185600,Jun 02 2022 - 4:00pm,complete,N/A,Estonia,San Marino,Ioannis Papadopoulos,1,0,0,3,0,2,0,2,2,2,0,"24,32",,4,1,0,0,2,0,0,0,0,2,13,8,6,4,7,4,11,10,74,26,0,0,1.65,0.97,0,0,0,0,0,0,0,0,0,0,0,0,1.05,10,31,1.14,1.44,2.2,3.75,3.4,1.3,A. Le Coq Arena (Tallinn)
1654195500,Jun 02 2022 - 6:45pm,complete,N/A,Czech Republic,Switzerland,Daniel Siebert,1,0,0,0.67,1.5,2,1,3,2,1,1,"11,58",44,3,8,2,0,2,0,1,1,2,0,11,15,4,8,7,7,9,12,38,62,0,0,1.3,1.8,0,0,0,0,0,0,0,0,0,0,0,0,3.34,3.34,2.23,1.4,2.1,4.2,8.5,1.91,1.8,Sinobo Stadium (Praha)
1654195500,Jun 02 2022 - 6:45pm,complete,N/A,Spain,Portugal,Michael Oliver,1,0,0,1.88,1.67,1,1,2,1,1,0,25,82,5,5,3,0,5,0,1,2,2,3,12,8,3,3,9,5,15,14,61,39,0,0,1.34,1.06,0,0,0,0,0,0,0,0,0,0,0,0,2.35,3.44,3.32,1.4,2.02,4.2,8.5,1.91,1.8,Estadio Benito Villamarín (Sevilla)
1654195500,Jun 02 2022 - 6:45pm,canceled,N/A,Albania,Russia,N/A,1,0,0,0.5,0,0,0,0,0,0,0,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Air Albania Stadium (Tiranë (Tirana))
1654195500,Jun 02 2022 - 6:45pm,complete,N/A,Israel,Iceland,Andris Treimanis,1,0,0,2,1,2,2,4,2,1,1,"25,84","42,53",3,5,1,0,3,0,0,1,1,2,20,10,8,6,12,4,15,11,65,35,0,0,2.31,1.24,0,0,0,0,0,0,0,0,0,0,0,0,2.06,3.38,3.78,1.4,1.92,4,8.5,2.1,1.67,Sammy Ofer Stadium (Haifa)
1654195500,Jun 02 2022 - 6:45pm,complete,N/A,Serbia,Norway,Paweł Raczkowski,1,0,0,2.17,1.67,0,1,1,1,0,1,,26,12,0,1,0,2,0,0,1,1,1,13,5,3,3,10,2,10,8,67,33,0,0,1.59,0.75,0,0,0,0,0,0,0,0,0,0,0,0,2.28,3.3,3.28,1.4,2,4.2,8.5,1.83,1.83,Stadion Rajko Mitić (Beograd)
1654195500,Jun 02 2022 - 6:45pm,complete,N/A,Slovenia,Sweden,Ruddy Buquet,1,0,0,1,0.67,0,2,2,1,0,1,,"39,88",2,4,2,0,3,0,2,0,1,2,13,11,4,5,9,6,1,0,54,46,0,0,1.35,1.42,0,0,0,0,0,0,0,0,0,0,0,0,3.24,3.26,2.32,1.42,2.3,4.33,9,1.91,1.8,Stadion Stožice (Ljubljana)
1654195500,Jun 02 2022 - 6:45pm,complete,N/A,Northern Ireland,Greece,Erik Lambrechts,1,0,0,0.83,2.5,0,1,1,1,0,1,,39,2,1,2,0,2,0,1,1,0,2,9,5,3,4,6,1,14,15,46,54,0,0,1.11,0.82,0,0,0,0,0,0,0,0,0,0,0,0,3.01,3.1,2.55,1.5,2.7,5.5,11,2.1,1.67,Windsor Park (Belfast)
1654264800,Jun 03 2022 - 2:00pm,complete,N/A,Kazakhstan,Azerbaijan,Istvan Vad II,1,0,0,2.17,1.67,2,0,2,0,0,0,"50,57",,2,4,3,0,1,0,2,1,0,1,7,16,4,7,3,9,12,10,40,60,0,0,0.93,1.76,0,0,0,0,0,0,0,0,0,0,0,0,2.42,2.91,2.68,1.5,2.67,5.5,11,2.2,1.62,Astana Arena (Nur-Sultan)
1654272000,Jun 03 2022 - 4:00pm,complete,N/A,Latvia,Andorra,Tomasz Musial,1,0,0,2.17,1.33,3,0,3,1,1,0,"9,77,85",,5,1,0,0,0,0,0,0,0,0,10,13,4,3,6,10,16,8,61,39,0,0,1.2,1.23,0,0,0,0,0,0,0,0,0,0,0,0,1.39,3.74,6.95,1.4,2.3,4.2,8,2.38,1.53,Daugavas Stadionā (Rīga (Riga))
1654281900,Jun 03 2022 - 6:45pm,complete,N/A,Croatia,Austria,Chris Kavanagh,1,0,0,2.13,0.67,0,3,3,1,0,1,,"41,54,57",7,4,1,0,1,0,0,1,1,0,15,14,4,8,11,6,10,7,61,39,0,0,1.66,1.64,0,0,0,0,0,0,0,0,0,0,0,0,2.04,3.4,3.8,1.4,2.23,4.2,8.5,1.91,1.8,Stadion Gradski vrt (Osijek)
1654281900,Jun 03 2022 - 6:45pm,complete,N/A,France,Denmark,Felix Zwayer,1,0,0,0.83,2,1,2,3,0,0,0,51,"68,88",2,2,0,0,1,0,0,0,0,1,20,9,8,6,12,3,8,8,60,40,0,0,2.27,1.26,0,0,0,0,0,0,0,0,0,0,0,0,1.65,3.8,5.5,1.38,2.12,4,8,2.1,1.67,Stade de France (Saint-Denis)
1654281900,Jun 03 2022 - 6:45pm,complete,N/A,Belgium,Netherlands,José María Sánchez Martínez,1,0,0,1.67,2,1,4,5,1,0,1,90'3,"40,51,61,65",10,4,1,0,1,0,0,1,0,1,14,16,8,8,6,8,6,14,50,50,0,0,1.83,1.85,0,0,0,0,0,0,0,0,0,0,0,0,2.26,3.6,3.1,1.28,1.92,3.2,6,1.67,2.1,Stade Roi Baudouin (Bruxelles (Brussel))
1654281900,Jun 03 2022 - 6:45pm,complete,N/A,Belarus,Slovakia,Stéphanie Frappart,1,0,0,0.5,1.17,0,1,1,0,0,0,,61,3,10,1,0,2,0,1,0,1,1,8,15,3,4,5,11,9,13,32,68,0,0,0.94,1.45,0,0,0,0,0,0,0,0,0,0,0,0,5.7,3.8,1.64,1.38,2.15,3.88,7.4,2.1,1.67,Stadion Karađorđe (Novi Sad)
