timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1691776800,Aug 11 2023 - 6:00pm,complete,N/A,Volendam,Vitesse,Dennis Higler,1,0,0,0.65,0.71,1,2,3,1,1,0,10,"60,86",3,7,3,1,1,0,2,2,0,1,5,14,5,10,0,4,13,11,28,72,0,0,0.94,2.06,0,0,0,0,0,0,0,0,0,0,0,0,3.25,3.95,2.02,1.16,1.63,2.25,3.92,1.5,2.5,Kras Stadion (Volendam)
1691850600,Aug 12 2023 - 2:30pm,complete,N/A,PSV,Utrecht,Serdar Gözübüyük,1,0,0,2.88,1.24,2,0,2,1,1,0,"45'3,77",,4,2,2,0,1,0,0,2,0,1,18,7,9,2,9,5,13,11,68,32,0,0,2.15,0.74,0,0,0,0,0,0,0,0,0,0,0,0,1.22,6.2,8.25,1.14,1.44,1.98,3.89,1.75,2,Philips Stadion (Eindhoven)
1691858700,Aug 12 2023 - 4:45pm,complete,N/A,Heerenveen,RKC Waalwijk,Marc Nagtegaal,1,0,0,1.24,0.65,3,1,4,3,3,0,"24,30,43",60,7,2,0,0,1,0,0,0,0,1,18,13,10,6,8,7,8,8,47,53,0,0,2.11,1.54,0,0,0,0,0,0,0,0,0,0,0,0,1.71,3.64,3.74,1.18,1.57,2.32,4.25,1.57,2.25,Abe Lenstra Stadion (Heerenveen)
1691863200,Aug 12 2023 - 6:00pm,complete,N/A,Ajax,Heracles,Jeroen Manschot,1,0,0,1.94,0.65,4,1,5,2,1,1,"45'8,75,85,90'6",45'5,13,4,2,0,5,0,0,2,1,4,24,4,14,3,10,1,10,13,70,30,0,0,3.11,0.66,0,0,0,0,0,0,0,0,0,0,0,0,1.14,8.5,9.75,1.08,1.33,1.97,2.94,2,1.75,Johan Cruijff Arena (Amsterdam)
1691866800,Aug 12 2023 - 7:00pm,complete,N/A,PEC Zwolle,Sparta Rotterdam,Joey Kooij,1,0,0,1.06,1.44,1,2,3,1,0,1,82,"13,70",7,1,2,0,4,0,0,2,1,3,19,7,8,5,11,2,8,15,52,48,0,0,2.24,1.12,0,0,0,0,0,0,0,0,0,0,0,0,2.58,3.45,2.68,1.24,1.66,2.85,5.31,1.57,2.25,MAC³PARK Stadion (Zwolle)
1691921700,Aug 13 2023 - 10:15am,complete,N/A,NEC,Excelsior,Allard Lindhout,1,0,0,1.56,0.59,3,4,7,3,2,1,"36,44,60","12,53,73,90'10",2,7,1,0,2,0,0,1,0,2,9,7,7,7,2,0,3,6,49,51,0,0,1.35,1.39,0,0,0,0,0,0,0,0,0,0,0,0,1.57,3.8,4.55,1.18,1.56,2.38,4.45,1.67,2.1,Goffertstadion (Nijmegen)
1691929800,Aug 13 2023 - 12:30pm,complete,N/A,Feyenoord,Fortuna Sittard,Rob Dieperink,1,0,0,2.47,0.65,0,0,0,0,0,0,,,8,3,0,1,6,0,1,0,1,5,16,12,7,6,9,6,3,10,62,38,0,0,1.94,1.4,0,0,0,0,0,0,0,0,0,0,0,0,1.15,7.5,12,1.08,1.32,1.75,2.63,1.95,1.8,Stadion Feijenoord (Rotterdam)
1691929800,Aug 13 2023 - 12:30pm,complete,N/A,AZ,Go Ahead Eagles,Danny Makkelie,1,0,0,2.12,1.42,5,1,6,2,2,0,"4,15,51,87,90'3",66,5,4,2,0,3,0,1,1,2,1,12,7,9,5,3,2,7,11,53,47,0,0,1.64,1.19,0,0,0,0,0,0,0,0,0,0,0,0,1.3,4.8,7.25,1.18,1.62,2.32,4,1.8,1.95,AFAS Stadion (Alkmaar)
1691937900,Aug 13 2023 - 2:45pm,complete,N/A,Almere City,Twente,Jochem Kamphuis,1,0,0,0.94,1.53,1,4,5,0,0,0,72,"59,66,90'2,90'4",2,11,3,1,0,0,2,2,0,0,12,17,5,9,7,8,13,9,34,66,0,0,1.45,2.22,0,0,0,0,0,0,0,0,0,0,0,0,4.6,3.95,1.64,1.18,1.6,2.4,4.45,1.67,2.1,Yanmar Stadion (Almere)
1692381600,Aug 18 2023 - 6:00pm,complete,N/A,Heracles,NEC,Erwin Blank,2,0,0,1.29,1.47,2,1,3,1,0,1,"61,74",24,5,9,2,0,2,0,1,1,1,1,14,13,8,5,6,8,11,9,46,54,0,0,1.84,1.49,0,0,0,0,0,0,0,0,0,0,0,0,2.65,3.65,2.5,1.18,1.55,2.38,4.25,1.5,2.4,Erve Asito (Almelo)
1692455400,Aug 19 2023 - 2:30pm,complete,N/A,Excelsior,Ajax,Dennis Higler,2,0,0,1.12,1.35,2,2,4,2,1,1,"45'1,48","25,72",4,10,0,0,0,0,0,0,0,0,9,14,4,9,5,5,1,1,32,68,0,0,1.23,2.07,0,0,0,0,0,0,0,0,0,0,0,0,9.4,7.2,1.22,1.07,1.28,1.78,2.62,1.63,2.25,Van Donge & De Roo Stadion (Rotterdam)
1692463500,Aug 19 2023 - 4:45pm,complete,N/A,Vitesse,PSV,Bas Nijhuis,2,0,0,0.71,2.47,1,3,4,1,1,0,19,"48,64,70",4,7,0,0,1,0,0,0,0,1,10,17,3,8,7,9,6,2,35,65,0,0,1.1,2.04,0,0,0,0,0,0,0,0,0,0,0,0,5.41,4.5,1.52,1.14,1.55,2.2,3.89,1.6,2.3,GelreDome (Arnhem)
